                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "10.2.0"                   "x86_64-macos-21.11.1"                                 "CRMATH"                               "20220526"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                            log_star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                        luminosity_ergs_s                                    log_L                                   radius                                    log_R                                    log_g                   log_surf_cell_pressure                log_surf_cell_temperature                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                             total_energy               total_gravitational_energy                    total_internal_energy              rel_cumulative_energy_error                              num_retries                                num_iters 
                                     104                                      399                  9.3051936541709111E+001                  1.9687254158399903E+000                  9.5488983680546119E-004                 -3.0200467289682624E+000                  3.0264590252176653E+001                 -9.8999999999999986E+001                  9.5488983680546119E-004                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2282336851229971E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2282336851229971E+001                 -2.2282336851229971E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1187740550154532E+000                  7.4899053574396824E+029                 -3.7084955991224802E+000                  2.6968528552370458E-001                 -5.6914274872764958E-001                  2.5563063957901697E+000                  6.1739442475767721E+000                  3.4459284826117056E+000                  0.0000000000000000E+000                  1.2641723725836366E+001                 -1.1497794986630212E-001                  4.7662457701373384E+000                  1.0381999049188533E+000                  8.7000425680503612E-001                  1.2480936080565501E+000                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4468833607861548E-003                  9.3805276451495445E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  6.8440955102370981E-004                  2.2194704305074291E-004                 -3.4730416817728142E+042                 -1.3633585782421979E+043                  1.0160544100649165E+043                  4.4804835989973392E-013                                        0                                        5 
                                     106                                      400                  3.3870904901182109E+002                  2.1270879079352398E+000                  9.5488983680546119E-004                 -3.0200467289682624E+000                  3.0264590252176653E+001                 -9.8999999999999986E+001                  9.5488983680546119E-004                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2281494690199533E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2281494690199533E+001                 -2.2281494690199533E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1186949852240957E+000                  7.4720700559351242E+029                 -3.7095309940461227E+000                  2.6946210207535881E-001                 -5.6950230660675505E-001                  2.5570255115483809E+000                  6.1746491698716435E+000                  3.4458906873327488E+000                  0.0000000000000000E+000                  1.2642377256665437E+001                 -1.1451101152855223E-001                  4.7662922612421381E+000                  1.0379790615228961E+000                  8.7000425680503612E-001                  1.2480936080565501E+000                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4468833607861548E-003                  9.3805276451495445E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  6.8440955102370981E-004                  2.2194704305074291E-004                 -3.4788376132219676E+042                 -1.3640780651250248E+043                  1.0161943038028280E+043                  1.3776684614072993E-012                                        0                                        4 
                                     108                                      401                  6.9245529096878238E+002                  2.2854504000304892E+000                  9.5488983680546119E-004                 -3.0200467289682624E+000                  3.0264590252176653E+001                 -9.8999999999999986E+001                  9.5488983680546119E-004                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2280287106169215E+001                 -9.8999999999999986E+001                 -3.7929779453661624E+001                 -2.2280287106169212E+001                 -2.2280287106169215E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1185807311996423E+000                  7.4465095932414265E+029                 -3.7110191757666269E+000                  2.6914239367578274E-001                 -5.7001788941810083E-001                  2.5580566771710722E+000                  6.1756629651938972E+000                  3.4458365736273544E+000                  0.0000000000000000E+000                  1.2643314396403280E+001                 -1.1384131220660593E-001                  4.7663585647517506E+000                  1.0376623415395145E+000                  8.7000425680503612E-001                  1.2480936080565501E+000                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4468833607861548E-003                  9.3805276451495445E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  6.8440955102370981E-004                  2.2194704305074291E-004                 -3.4871573549499674E+042                 -1.3651101570687817E+043                  1.0163944215737850E+043                  2.3199234600774223E-012                                        0                                        2 
                                     110                                      399                  1.2018498793868066E+003                  2.4438128921257389E+000                  9.5488983680546119E-004                 -3.0200467289682624E+000                  3.0264590252176653E+001                 -9.8999999999999986E+001                  9.5488983680546119E-004                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2278558722012065E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2278558722012065E+001                 -2.2278558722012065E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1184153921496893E+000                  7.4099534088930232E+029                 -3.7131564518035178E+000                  2.6868545107860015E-001                 -5.7075584933664048E-001                  2.5595325970081517E+000                  6.1771201607570685E+000                  3.4457592896128828E+000                  0.0000000000000000E+000                  1.2644655771682761E+001                 -1.1288247815289078E-001                  4.7664527212693955E+000                  1.0372089252009176E+000                  8.7000425680503612E-001                  1.2480936080565501E+000                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4468833607861548E-003                  9.3805276451495445E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  6.8440955102370981E-004                  2.2194704305074291E-004                 -3.4990833881420406E+042                 -1.3665882079276348E+043                  1.0166798691134307E+043                  3.2608806582777480E-012                                        0                                        5 
                                     112                                      400                  1.9353780867087617E+003                  2.6021753842209887E+000                  9.5488983680546119E-004                 -3.0200467289682624E+000                  3.0264590252176653E+001                 -9.8999999999999986E+001                  9.5488983680546119E-004                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2276091413987302E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2276091413987302E+001                 -2.2276091413987302E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1181757147651235E+000                  7.3578306726296421E+029                 -3.7162221400088207E+000                  2.6803447752704229E-001                 -5.7180933867016037E-001                  2.5616395756751915E+000                  6.1792127531556043E+000                  3.4456492773437768E+000                  0.0000000000000000E+000                  1.2646570761257315E+001                 -1.1151308534181192E-001                  4.7665856097287582E+000                  1.0365614517590103E+000                  8.7000425680503612E-001                  1.2480936080565501E+000                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4468833607861548E-003                  9.3805276451495445E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  6.8440955102370981E-004                  2.2194704305074291E-004                 -3.5161451203553982E+042                 -1.3686998801990875E+043                  1.0170853681635477E+043                  4.1917820804398387E-012                                        0                                        5 
                                     114                                      401                  2.9916587052523764E+003                  2.7605378763162380E+000                  9.5488983680546119E-004                 -3.0200467289682624E+000                  3.0264590252176653E+001                 -9.8999999999999986E+001                  9.5488983680546119E-004                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2272582384586304E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2272582384586304E+001                 -2.2272582384586304E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1178273880652334E+000                  7.2838294745302446E+029                 -3.7206121593538950E+000                  2.6711132709428298E-001                 -5.7330769494291733E-001                  2.5646362882207052E+000                  6.1822139895756321E+000                  3.4454934265231798E+000                  0.0000000000000000E+000                  1.2649294572524054E+001                 -1.0956423225127483E-001                  4.7667714982403959E+000                  1.0356401787330398E+000                  8.7000425680503612E-001                  1.2480936080565501E+000                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4468833607861548E-003                  9.3805276451495445E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  6.8440955102370981E-004                  2.2194704305074291E-004                 -3.5404853101728342E+042                 -1.3717066069065551E+043                  1.0176580758892717E+043                  7.8353660331927394E-012                                        0                                        2 
                                     116                                      399                  4.5127027959551815E+003                  2.9189003684114878E+000                  9.5488983680546119E-004                 -3.0200467289682624E+000                  3.0264590252176653E+001                 -9.8999999999999986E+001                  9.5488983680546119E-004                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2267618029058141E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2267618029058141E+001                 -2.2267618029058141E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1173194206543320E+000                  7.1793959675536191E+029                 -3.7268840223267694E+000                  2.6581060773453336E-001                 -5.7542769160755147E-001                  2.5688762815499735E+000                  6.1865104932436896E+000                  3.4452740593730100E+000                  0.0000000000000000E+000                  1.2653148633123166E+001                 -1.0680453309323983E-001                  4.7670281894292996E+000                  1.0343359517581343E+000                  8.7000425680503612E-001                  1.2480936080565501E+000                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4468833607861548E-003                  9.3805276451495445E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  6.8440955102370981E-004                  2.2194704305074291E-004                 -3.5750697892920639E+042                 -1.3759673431137430E+043                  1.0184603641845366E+043                  8.7114650465351494E-012                                        0                                        5 
                                     118                                      400                  6.7030062865672207E+003                  3.0772628605067376E+000                  9.5488983680546119E-004                 -3.0200467289682624E+000                  3.0264590252176653E+001                 -9.8999999999999986E+001                  9.5488983680546119E-004                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2260646405860438E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2260646405860438E+001                 -2.2260646405860438E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1165757297120757E+000                  7.0332753976325436E+029                 -3.7358143059569353E+000                  2.6399429909181438E-001                 -5.7840545153812217E-001                  2.5748318014111149E+000                  6.1926438026504833E+000                  3.4449678717869681E+000                  0.0000000000000000E+000                  1.2658562162064413E+001                 -1.0292387438897713E-001                  4.7673760444238784E+000                  1.0325026327637565E+000                  8.7000425680503612E-001                  1.2480936080565501E+000                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4468833607861548E-003                  9.3805276451495445E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  6.8440955102370981E-004                  2.2194704305074291E-004                 -3.6239319584484483E+042                 -1.3819647477384695E+043                  1.0195715518936247E+043                  9.5105231083037054E-012                                        0                                        5 
                                     120                                      401                  9.8570433130485562E+003                  3.2356253526019869E+000                  9.5488983680546119E-004                 -3.0200467289682624E+000                  3.0264590252176653E+001                 -9.8999999999999986E+001                  9.5488983680546119E-004                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2250955495918905E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2250955495918905E+001                 -2.2250955495918905E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1154819006828234E+000                  6.8312575235644227E+029                 -3.7484712715031465E+000                  2.6148918034713403E-001                 -5.8254627625272259E-001                  2.5831134508403157E+000                  6.2013626139377731E+000                  3.4445450806052440E+000                  0.0000000000000000E+000                  1.2666089374437439E+001                 -9.7519622195012118E-002                  4.7678346019779525E+000                  1.0299505975504015E+000                  8.7000425680503612E-001                  1.2480936080565501E+000                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4468833607861548E-003                  9.3805276451495445E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  6.8440955102370981E-004                  2.2194704305074291E-004                 -3.6924180477554031E+042                 -1.3903285419950994E+043                  1.0210867372195591E+043                  1.0191733104845105E-011                                        0                                        5 
                                     122                                      399                  1.4398856631181679E+004                  3.3939878446972367E+000                  9.5488983680546119E-004                 -3.0200467289682624E+000                  3.0264590252176653E+001                 -9.8999999999999986E+001                  9.5488983680546119E-004                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2237670935020400E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2237670935020400E+001                 -2.2237670935020400E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1138672370137117E+000                  6.5566525100920456E+029                 -3.7662897615963686E+000                  2.5809156200600281E-001                 -5.8822619396111009E-001                  2.5944732862570907E+000                  6.2136758116053956E+000                  3.4439688572185609E+000                  0.0000000000000000E+000                  1.2676411740852938E+001                 -9.0092520798680062E-002                  4.7684147647233734E+000                  1.0264444971156943E+000                  8.7000425680503612E-001                  1.2480936080565501E+000                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4468833607861548E-003                  9.3805276451495445E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  6.8440955102370981E-004                  2.2194704305074291E-004                 -3.7873529546539988E+042                 -1.4018452727024477E+043                  1.0231099772370478E+043                  1.0808167287057001E-011                                        0                                        3 
                                     124                                      400                  2.0939067809293378E+004                  3.5523503367924860E+000                  9.5488983680546119E-004                 -3.0200467289682624E+000                  3.0264590252176653E+001                 -9.8999999999999986E+001                  9.5488983680546119E-004                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.0687839848779817E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2219793814467334E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2219793814467334E+001                 -2.2219793814467334E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1114833989799862E+000                  6.1922747900224394E+029                 -3.7911217086356443E+000                  2.5358613738445512E-001                 -5.9587449141329762E-001                  2.6097698811614656E+000                  6.2308841477013805E+000                  3.4431960592363988E+000                  0.0000000000000000E+000                  1.2690309349783835E+001                 -8.0063604599219004E-002                  4.7691041970897086E+000                  1.0217098480467963E+000                  8.7000425680503612E-001                  1.2480936080565501E+000                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4468833607861548E-003                  9.3805276451495445E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  6.8440955102370981E-004                  2.2194704305074291E-004                 -3.9169789805053433E+042                 -1.4174370040673186E+043                  1.0257391060167842E+043                  1.1295749904277134E-011                                        0                                        3 
